n,i,h0_comparisons,h0_elapsed_seconds,h1_comparisons,h1_elapsed_seconds,h2_comparisons,h2_elapsed_seconds,h3_comparisons,h3_elapsed_seconds,h4_comparisons,h4_elapsed_seconds,h5_comparisons,h5_elapsed_seconds,h6_comparisons,h6_elapsed_seconds
7,3,6,0.002790,6,0.002936,6,0.001520,8,0.004532,9,0.010778,10,0.006644,6,0.002705
8,3,7,0.019218,7,0.020714,7,0.003943,9,0.033296,11,0.105607,11,0.050893,7,0.019472
9,3,8,0.163583,8,0.172125,8,0.016709,10,0.256608,12,0.923212,13,0.372794,8,0.149999
10,3,9,1.027316,9,1.122408,9,0.069233,11,1.685042,13,7.358803,14,2.637711,9,1.044474
11,3,10,8.315502,10,8.567681,10,0.302670,12,10.846945,14,56.724582,15,18.021379,10,6.896621
12,3,11,47.379039,11,48.654513,11,1.261831,13,58.241596,15,427.165251,16,120.315197,11,47.910579
13,3,12,275.803073,12,286.460967,12,5.511315,14,329.385314,16,3117.406787,17,794.583617,12,262.931891
14,3,13,1598.255128,13,1568.125934,13,21.633947,15,1568.485459,17,20712.369808,18,4493.319393,13,1552.227799
15,3,14,8221.266818,14,7923.455204,14,95.894009,16,8552.588230,19,150358.601531,19,28799.848429,14,8039.034697
runtime_sum,,,2h 49m 12.2s,,2h 43m 56.6s,,2m 4.7s,,2h 55m 21.5s,,2d 0h 31m 20.7s,,9h 30m 29.2s,,2h 45m 10.2s
mean_ratio_to_exact,,0.598,,0.598,,0.598,,0.726,,0.848,,0.898,,0.598,
